iteracion,fitness_mejor_alpha,fitness_media,fitness_mediana,fitness_peor,fitness_std,percentil_25_q1,percentil_75_q3,iqr_q3_menos_q1,asimetria_skew,curtosis_kurtosis,diversidad_geom,tiempo_iter_s,tiempo_acumulado_s,delta_mejora_alpha
1,0.938800,0.934435,0.934517,0.925337,0.003738,0.932681,0.937576,0.004896,-0.903738,0.198019,0.592504,33.450954,33.450954,0.938800
2,0.941248,0.937903,0.938188,0.932069,0.002266,0.936965,0.939106,0.002142,-0.786757,0.660318,0.254367,47.635602,81.086556,0.002448
3,0.941248,0.937821,0.938188,0.932681,0.002415,0.936047,0.939106,0.003060,-0.448312,-0.568780,0.206618,46.718084,127.804640,0.000000
4,0.943084,0.938188,0.938188,0.929621,0.003766,0.936047,0.941860,0.005814,-0.470354,-0.344649,0.140388,55.489341,183.293981,0.001836
5,0.945532,0.938556,0.937576,0.935129,0.002886,0.936659,0.940024,0.003366,1.010199,0.125136,0.121974,47.683838,230.977819,0.002448
6,0.945532,0.938066,0.937576,0.932069,0.004005,0.935741,0.940330,0.004590,0.023920,-0.819803,0.110880,50.565601,281.543420,0.000000
7,0.945532,0.938392,0.938188,0.933905,0.002902,0.936353,0.938800,0.002448,1.014624,0.700085,0.118992,45.476452,327.019871,0.000000
8,0.945532,0.938964,0.939412,0.933905,0.002786,0.937576,0.939718,0.002142,0.462664,0.300485,0.069325,60.039155,387.059026,0.000000
9,0.945532,0.938392,0.938800,0.932681,0.003045,0.936659,0.940330,0.003672,0.291795,0.218520,0.062009,49.100009,436.159035,0.000000
10,0.945532,0.939453,0.940636,0.934517,0.003234,0.936659,0.941860,0.005202,-0.007584,-1.037638,0.086401,53.868109,490.027144,0.000000
11,0.945532,0.938392,0.938800,0.933905,0.003372,0.935435,0.940330,0.004896,0.279472,-0.622147,0.074481,54.620770,544.647915,0.000000
12,0.945532,0.937495,0.936353,0.932681,0.003490,0.934517,0.939412,0.004896,0.597995,-0.267470,0.063789,55.991956,600.639870,0.000000
13,0.945532,0.938596,0.940024,0.932681,0.003228,0.936047,0.940024,0.003978,-0.131337,-0.161424,0.065546,52.128930,652.768800,0.000000
14,0.945532,0.939780,0.940024,0.930233,0.003927,0.937882,0.942778,0.004896,-0.590958,0.157527,0.054838,48.929519,701.698320,0.000000
15,0.945532,0.939902,0.941860,0.933293,0.003714,0.936659,0.942778,0.006120,-0.166886,-1.385058,0.035207,55.365100,757.063420,0.000000
16,0.945532,0.937862,0.938188,0.930233,0.003616,0.936353,0.940024,0.003672,-0.270058,0.429974,0.038730,51.654938,808.718359,0.000000
17,0.945532,0.939086,0.938188,0.933293,0.003047,0.937576,0.941554,0.003978,0.081624,-0.266873,0.034679,56.330104,865.048462,0.000000
18,0.945532,0.939290,0.940024,0.929621,0.003700,0.937576,0.941554,0.003978,-0.866083,0.908520,0.035179,61.459475,926.507937,0.000000
19,0.945532,0.941289,0.941860,0.935741,0.002284,0.940636,0.942166,0.001530,-0.737130,0.524388,0.026352,67.624155,994.132092,0.000000
20,0.945532,0.941738,0.941860,0.938800,0.001326,0.941554,0.941860,0.000306,0.769497,3.149826,0.026411,77.741845,1071.873937,0.000000
